SHIPMENT_XID,START_TIME,TOTAL_SHIP_UNIT_COUNT,TOTAL_WEIGHT,TOTAL_VOLUME,FIRST_EQUIPMENT_GROUP_GID,PRINCIPAL,DestName,Region,City,DestZone1,DestZone2,Segment
00328440,2018-11-26 02:37:44,60,15000.0,19.380000000000003,LFL/TMS/MYS.20T_BOX,UNILEVER,JULIE'S MANUFACTURING SDN BHD,MELAKA,MELAKA,MLK-001,SOUTH,DT-OUTSTATION
00386949,2019-06-14 07:00:00,343,3183.414598,6.345051999999999,LFL/TMS/MYS.10T_BOX,UNILEVER,SIMA FROZEN PRODUCTS SDN BHD,KEDAH,ALOR SETAR,KDH-001,NORTH,DT-OUTSTATION
00328507,2018-11-16 16:01:00,450,5682.1293,15.245099999999999,LFL/TMS/MYS.20T_BOX,UNILEVER,WATSON,SELANGOR,SHAH ALAM,KLV-001,CENTRAL,IMT-NS
00337436,2018-12-11 07:00:00,681,6158.843664,15.236987,LFL/TMS/MYS.10T_BOX,UNILEVER,BOSTON TRADING SDN BHD,MELAKA,BATU BERENDAM,MLK-003,SOUTH,DT-OUTSTATION
00337321,2018-12-16 23:00:00,645,5538.75,14.975399999999999,LFL/TMS/MYS.20T_BOX,UNILEVER,STP CHILLED AND FROZEN PRODUCTS SDN BHD,SELANGOR,SHAH ALAM,KLV-007,CENTRAL,DT-LOCAL
00337339,2018-12-14 09:55:35,528,4234.158141000001,10.535964,LFL/TMS/MYS.10T_BOX,UNILEVER,SIN GUAN HENG PROVISIONS SDN. BHD,PERAK,PARIT BUNTAR,PNG-008,NORTH,DT-OUTSTATION
00337299,2018-12-28 15:24:16,985,13770.3,30.534999999999997,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00337300,2018-12-28 15:24:26,985,13770.3,30.534999999999997,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00337343,2018-12-17 04:57:01,901,7179.816981000001,18.411012,LFL/TMS/MYS.20T_BOX,UNILEVER,BOSTAN TRADING SDN BHD,MELAKA,BATU BERENDAM,MLK-003,SOUTH,DT-OUTSTATION
00337293,2018-12-28 15:21:10,500,7101.222500000001,15.0,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00337296,2018-12-28 15:22:03,1066,6825.417054,16.98782,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00337297,2018-12-28 15:22:15,1575,21829.5,48.825,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00337295,2018-12-28 15:21:46,1575,21829.5,48.825,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00337306,2018-12-17 00:00:00,1024,7388.1738159999995,18.504960000000004,LFL/TMS/MYS.20T_BOX,UNILEVER,TIARAN SDN BHD,SELANGOR,KAJANG,KLV-003,CENTRAL,DT-LOCAL
00337336,2018-12-14 09:55:35,639,4404.727750999999,11.373990000000001,LFL/TMS/MYS.10T_BOX,UNILEVER,SIANG SELATAN SDN BHD,JOHOR,BATU PAHAT,JNT-003,SOUTH,DT-OUTSTATION
00337338,2018-12-14 09:55:35,929,7218.724452,19.505888,LFL/TMS/MYS.20T_BOX,UNILEVER,YOONG SHING TRADING (M) SDN BHD,JOHOR,MASAI,JST-004,SOUTH,DT-OUTSTATION
00337303,2018-12-28 15:24:16,985,13770.300000000001,30.535,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00337292,2018-12-28 15:20:55,1100,13486.7997,42.7999,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00337310,2018-12-17 00:00:00,875,8600.0543,18.68235,LFL/TMS/MYS.20T_BOX,UNILEVER,GREAT PLUS ENTERPRISE SDN BHD,SELANGOR,KLANG,KLV-002,CENTRAL,DT-LOCAL
00337301,2018-12-28 15:24:41,985,13770.3,30.534999999999997,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00337319,2018-12-16 23:00:00,720,11520.0,17.28,LFL/TMS/MYS.20T_BOX,UNILEVER,STP CHILLED AND FROZEN PRODUCTS SDN BHD,SELANGOR,SHAH ALAM,KLV-007,CENTRAL,DT-LOCAL
00337320,2018-12-16 23:00:00,720,11520.0,17.28,LFL/TMS/MYS.20T_BOX,UNILEVER,STP CHILLED AND FROZEN PRODUCTS SDN BHD,SELANGOR,SHAH ALAM,KLV-007,CENTRAL,DT-LOCAL
00337322,2018-12-16 16:01:00,287,1916.8262989999998,5.479926,LFL/TMS/MYS.3T,UNILEVER,GCH RETAIL (MALAYSIA) SDN BHD,SELANGOR,SEPANG,KLV-017,CENTRAL,IMT-NS
00337304,2018-12-28 15:24:26,985,13770.300000000001,30.535,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00337305,2018-12-28 15:24:41,985,13770.300000000001,30.535,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
00337290,2018-12-28 15:23:13,1970,27540.600000000002,61.06999999999999,LFL/TMS/MYS.20T_BOX,UNILEVER,MYDIN CENTRAL DISTRIBUTION CENTRE - CDC,SELANGOR,SHAH ALAM,KLV-016,CENTRAL,IMT
